title,author,length
A Queen of Ruin,By: K.F. Breene,Length: 20 hrs and 44 mins
The Power of One More,By: Ed Mylett,Length: 7 hrs and 30 mins
The Eighth Realm,By: Michael Chatfield,Length: 9 hrs and 16 mins
The Butcher's Masquerade,By: Matt Dinniman,Length: 23 hrs and 33 mins
Why I Stand,By: Jonathan Isaac,Length: 4 hrs and 29 mins
Akata Woman,By: Nnedi Okorafor,Length: 13 hrs and 17 mins
Boyfriend Goals,By: Riley Hart,Length: 7 hrs and 38 mins
Gleam,By: Raven Kennedy,Length: 21 hrs and 1 min
Dragon's Justice 3,By: Bruce Sentar,Length: 11 hrs and 4 mins
Not a Role Model,By: Lani Lynn Vale,Length: 5 hrs and 39 mins
Perfect Storm 2,By: Bobby Akart,Length: 6 hrs and 7 mins
Equatorial,By: Ryan DeBruyn,Length: 13 hrs and 47 mins
Race Marxism,By: James Lindsay,Length: 12 hrs and 43 mins
Offside with #55,By: Piper Rayne,Length: 6 hrs and 15 mins
Insight,By: Jay Boyce,Length: 13 hrs and 6 mins
Caged Wolf,"By: Caroline Peckham, Susanne Valenti",Length: 16 hrs and 47 mins
Good Vibrations,By: Kayley Loring,Length: 7 hrs and 26 mins
Riley Thorn and the Blast from the Past,By: Lucy Score,Length: 11 hrs and 2 mins
Glad You're Here,"By: Walker Hayes, Craig Allen Cooper",Length: 4 hrs and 20 mins
The Hourglass Throne,By: K. D. Edwards,Length: 14 hrs and 19 mins
