,title,Author,Book_Audio_Length
0,Start with Why,Simon Sinek,Length: 7 hrs and 18 mins
1,The Everyday Hero Manifesto,Robin Sharma,Length: 9 hrs and 27 mins
2,Indomitable,Arundhati Bhattacharya,Length: 15 hrs and 26 mins
3,Build,Tony Fadell,Length: 11 hrs and 4 mins
4,The Design of Everyday Things,Don Norman,Length: 10 hrs and 39 mins
5,Designing Data-Intensive Applications,Martin Kleppmann,Length: 20 hrs and 56 mins
6,Think and Grow Rich,Napoleon Hill,Length: 10 hrs and 15 mins
7,The Earned Life,Marshall Goldsmith,Length: 8 hrs and 23 mins
8,The Ambuja Story,Narotam Sekhsaria,Length: 13 hrs and 59 mins
9,Extreme Ownership,Jocko Willink,Length: 9 hrs and 33 mins
10,$100M Offers,Alex Hormozi,Length: 3 hrs and 48 mins
11,How Come No One Told Me That,Prakash Iyer,Length: 8 hrs and 21 mins
12,The YouTube Formula,Derral Eves,Length: 10 hrs and 3 mins
13,The Mental Game of Trading,Jared Tendler,Length: 9 hrs and 44 mins
14,Think Again,Adam Grant,Length: 6 hrs and 41 mins
15,No Excuses!,Brian Tracy,Length: 6 hrs and 51 mins
16,Hyperfocus,Chris Bailey,Length: 6 hrs and 39 mins
17,Elon Musk,Ashlee Vance,Length: 13 hrs and 23 mins
18,Loved,Martina Lauchengco,Length: 6 hrs and 56 mins
19,HBR at 100,Harvard Business Review,Length: 17 hrs and 7 mins
20,Range,David Epstein,Length: 10 hrs and 17 mins
21,The Hard Thing About Hard Things,Ben Horowitz,Length: 7 hrs and 57 mins
22,Grit,Angela Duckworth,Length: 9 hrs and 21 mins
23,Zero to IPO,Frederic Kerrest,Length: 8 hrs and 3 mins
24,Digital Minimalism,Cal Newport,Length: 7 hrs
25,The Personal MBA: Master the Art of Business,Josh Kaufman,Length: 15 hrs and 25 mins
26,Trading in the Zone,Mark Douglas,Length: 7 hrs and 57 mins
27,Rework,Jason Fried,Length: 2 hrs and 50 mins
28,Invent and Wander,Jeff Bezos,Length: 8 hrs and 55 mins
29,Your Money or Your Life,Vicki Robin,Length: 11 hrs and 21 mins
30,No Rules Rules,Reed Hastings,Length: 9 hrs and 42 mins
31,The Obstacle Is the Way,Ryan Holiday,Length: 6 hrs and 7 mins
32,The Millionaire Fastlane: Crack the Code to Wealth and Live Rich for a Lifetime,MJ DeMarco,Length: 12 hrs and 46 mins
33,Outliers,Malcolm Gladwell,Length: 7 hrs and 18 mins
34,Make Time,Jake Knapp,Length: 4 hrs and 58 mins
35,The ONE Thing,Gary Keller,Length: 5 hrs and 24 mins
36,Funding Your Startup,Dhruv Nath,Length: 8 hrs and 22 mins
37,Master Your Emotions: A Practical Guide to Overcome Negativity and Better Manage Your Feelings,Thibaut Meurisse,Length: 3 hrs and 54 mins
38,How to Talk to Anyone,Leil Lowndes,Length: 8 hrs and 59 mins
39,Good to Great,Jim Collins,Length: 10 hrs and 1 min
40,The Lean Startup,Eric Ries,Length: 8 hrs and 38 mins
41,Titan,Ron Chernow,Length: 35 hrs and 3 mins
42,Leaders Eat Last,Simon Sinek,Length: 9 hrs and 22 mins
43,Inspired,Marty Cagan,Length: 7 hrs and 45 mins
44,Indistractable,Nir Eyal,Length: 5 hrs and 15 mins
45,Hooked: How to Build Habit-Forming Products,Nir Eyal,Length: 4 hrs and 40 mins
46,The NFT Handbook,Matt Fortnow,Length: 7 hrs and 2 mins
47,The 10X Rule,Grant Cardone,Length: 7 hrs and 24 mins
48,The Daily Stoic,Ryan Holiday,Length: 10 hrs and 6 mins
49,I Too Had a Dream,Kurien,Length: 9 hrs and 58 mins
50,Working with Emotional Intelligence,Daniel Goleman,Length: 13 hrs and 3 mins
51,Founder Brand,Dave Gerhardt,Length: 3 hrs and 27 mins
52,Traction,Gabriel Weinberg,Length: 7 hrs and 23 mins
53,33 Strategies of War,Robert Greene,Length: 27 hrs and 30 mins
54,Secrets of the Millionaire Mind,T. Harv Eker,Length: 5 hrs and 10 mins
55,Ego Is the Enemy,Ryan Holiday,Length: 6 hrs and 56 mins
56,Find Your Why,Simon Sinek,Length: 4 hrs and 56 mins
57,The Richest Man in Babylon,George S. Clason,Length: 4 hrs and 4 mins
58,The Power of Habit,Charles Duhigg,Length: 10 hrs and 53 mins
59,The Phoenix Project,Gene Kim,Length: 14 hrs and 46 mins
60,Blink,Malcolm Gladwell,Length: 7 hrs and 44 mins
61,Leadership and Self-Deception: Getting Out of the Box,The Arbinger Institute,Length: 6 hrs and 1 min
62,Never Split the Difference,Chris Voss,Length: 8 hrs and 7 mins
63,Extraordinary Leadership,Robin Sharma,Length: 1 hr and 6 mins
64,The Most Important Thing,Howard Marks,Length: 7 hrs and 9 mins
65,Staff Engineer,Will Larson,Length: 8 hrs and 52 mins
66,HBR's 10 Must Reads on Managing Yourself,Harvard Business Review,Length: 7 hrs and 26 mins
67,The Power of Regret,Daniel H. Pink,Length: 5 hrs and 29 mins
68,Rich as F--k,Amanda Frances,Length: 6 hrs and 45 mins
69,Alibaba,Duncan Clark,Length: 9 hrs and 9 mins
70,"Thinking, Fast and Slow",Daniel Kahneman,Length: 20 hrs and 1 min
71,Zero to One,Peter Thiel,Length: 4 hrs and 50 mins
72,Product-Led Growth,Wes Bush,Length: 4 hrs and 23 mins
73,The Founders,Jimmy Soni,Length: 15 hrs and 46 mins
74,The Challenger Sale,Matthew Dixon,Length: 5 hrs and 43 mins
75,The Chimp Paradox,Prof Steve Peters,Length: 9 hrs and 45 mins
76,The Toyota Way (Second Edition),Jeffrey Liker,Length: 17 hrs and 36 mins
77,Key Person of Influence,Daniel Priestley,Length: 4 hrs and 50 mins
78,The 5 Levels of Leadership (10th Anniversary Edition),John C. Maxwell,Length: 7 hrs and 17 mins
79,The Art of Startup Fundraising,Alejandro Cremades,Length: 6 hrs and 24 mins
80,HBR's 10 Must Reads on Communication,Harvard Business Review,Length: 6 hrs and 59 mins
81,Linchpin,Seth Godin,Length: 8 hrs and 19 mins
82,Turn the Ship Around!,L. David Marquet,Length: 6 hrs and 26 mins
83,The Lean Product Playbook,Dan Olsen,Length: 9 hrs and 54 mins
84,Storyworthy,Matthew Dicks,Length: 10 hrs and 1 min
85,Algorithms to Live By,Brian Christian,Length: 11 hrs and 50 mins
86,AWS Certified Solutions Architect Audio Crash Course,AudioLearn Content Team,Length: 8 hrs and 23 mins
87,Execution,Larry Bossidy,Length: 8 hrs and 14 mins
88,Chanakya and the Art of War,Radhakrishnan Pillai,Length: 5 hrs and 11 mins
89,Data Science for Business,Foster Provost,Length: 12 hrs and 46 mins
90,Founders at Work,Jessica Livingston,Length: 21 hrs and 46 mins
91,The Effective Executive,Peter F. Drucker,Length: 6 hrs and 15 mins
92,Market Wizards,Jack D. Schwager,Length: 14 hrs and 41 mins
93,Skin in the Game,Nassim Nicholas Taleb,Length: 8 hrs and 20 mins
94,"The DevOps Handbook, Second Edition",Gene Kim,Length: 15 hrs and 51 mins
95,Working Backwards,Colin Bryar,Length: 10 hrs and 40 mins
96,Leadership Wisdom from the Monk Who Sold His Ferrari,Robin Sharma,Length: 7 hrs and 31 mins
97,The Culture Map,Erin Meyer,Length: 7 hrs and 42 mins
98,Crushing It!,Gary Vaynerchuk,Length: 8 hrs and 2 mins
99,15 Secrets Successful People Know About Time Management,Kevin Kruse,Length: 3 hrs and 10 mins
100,The Prosperous Coach: Increase Income and Impact for You and Your Clients,Steve Chandler,Length: 4 hrs and 20 mins
101,The IndiGo Story,Shelley Vishwajeet,Length: 6 hrs and 11 mins
102,Marketing 4.0,Philip Kotler,Length: 4 hrs and 48 mins
103,HBR's 10 Must Reads on Strategy,Harvard Business Review,Length: 9 hrs and 17 mins
104,Essentialism,Greg McKeown,Length: 6 hrs and 14 mins
105,Escaping the Build Trap,Melissa Perri,Length: 6 hrs and 44 mins
106,Measure What Matters,John Doerr,Length: 7 hrs and 56 mins
107,The Goal,Eliyahu M. Goldratt,Length: 11 hrs and 45 mins
108,What Got You Here Won't Get You There,Marshall Goldsmith,Length: 7 hrs and 56 mins
109,The Three Laws of Performance,Steve Zaffron,Length: 6 hrs and 12 mins
110,The New Map,Daniel Yergin,Length: 15 hrs and 48 mins
111,Ca$hvertising,Drew Eric Whitman,Length: 6 hrs and 17 mins
112,Creativity Inc.,Ed Catmull,Length: 12 hrs and 52 mins
113,Competing Against Luck,Clayton M. Christensen,Length: 7 hrs and 25 mins
114,The Basics of Bitcoins and Blockchains,Antony Lewis,Length: 9 hrs and 23 mins
115,Napoleon Hill's Outwitting the Devil,Napoleon Hill,Length: 5 hrs and 51 mins
116,"30 Days - Change Your Habits, Change Your Life",Marc Reklau,Length: 4 hrs and 12 mins
117,SPIN Selling,Neil Rackham,Length: 6 hrs and 12 mins
118,HBR's 10 Must Reads on Design Thinking,Harvard Business Review,Length: 5 hrs and 52 mins
119,"Change Your Paradigm, Change Your Life",Bob Proctor,Length: 5 hrs and 20 mins
120,Effortless,Greg McKeown,Length: 6 hrs and 2 mins
121,Leadership Strategy and Tactics,Jocko Willink,Length: 8 hrs and 24 mins
122,Exactly What to Say,Phil M. Jones,Length: 1 hr and 14 mins
123,Talk Like TED,Carmine Gallo,Length: 7 hrs and 42 mins
124,Finding Flow,Mihaly Csikszentmihalyi,Length: 5 hrs and 6 mins
125,Sell,Subroto Bagchi,Length: 4 hrs and 57 mins
126,Radical Candor,Kim Scott,Length: 9 hrs and 23 mins
127,The Greatness Guide,Robin Sharma,Length: 4 hrs and 17 mins
128,Tools of Titans,Tim Ferriss,Length: 22 hrs and 41 mins
129,Crush It!,Gary Vaynerchuk,Length: 3 hrs and 40 mins
130,The Wisdom of Crowds,James Surowiecki,Length: 9 hrs and 29 mins
131,The Secret of Leadership,Prakash Iyer,Length: 5 hrs and 33 mins
132,YouTube Secrets,Sean Cannell,Length: 5 hrs and 29 mins
133,Good Strategy/Bad Strategy,Richard Rumelt,Length: 11 hrs and 49 mins
134,Crucial Conversations,Kerry Patterson,Length: 4 hrs and 17 mins
135,The Startup of You (Revised and Updated),Reid Hoffman,Length: 6 hrs and 48 mins
136,The Art of Saying No,Damon Zahariades,Length: 2 hrs and 22 mins
137,The Ride of a Lifetime,Robert Iger,Length: 8 hrs and 45 mins
138,The Making of a Manager,Julie Zhuo,Length: 7 hrs and 32 mins
139,Critical Business Skills for Success,The Great Courses,Length: 31 hrs and 18 mins
140,It's Not Luck,Eliyahu M. Goldratt,Length: 8 hrs and 30 mins
141,Capital in the Twenty-First Century,Thomas Piketty,Length: 24 hrs and 58 mins
142,How to Day Trade for a Living,Andrew Aziz,Length: 6 hrs and 56 mins
143,Decisive,Chip Heath,Length: 9 hrs and 9 mins
144,Inside Chanakya's Mind,Radhakrishnan Pillai,Length: 5 hrs and 57 mins
145,The Voltage Effect,John A List,Length: 8 hrs and 26 mins
146,Beyond Entrepreneurship 2.0,Jim Collins,Length: 13 hrs and 53 mins
147,Marketing 5.0,Philip Kotler,Length: 7 hrs and 8 mins
148,"HBR's 10 Must Reads on AI, Analytics, and the New Machine Age",Harvard Business Review,Length: 5 hrs and 25 mins
149,The Fifth Discipline,Peter M. Senge,Length: 4 hrs and 18 mins
150,How Will You Measure Your Life?,Clayton M. Christensen,Length: 5 hrs and 28 mins
151,Time Management Made Simple,Brian Tracy,Length: 10 hrs and 48 mins
152,Pitch Anything,Oren Klaff,Length: 6 hrs and 14 mins
153,"Bulls, Bears and Other Beasts",Santosh Nair,Length: 11 hrs and 8 mins
154,Hacking Growth,Morgan Brown,Length: 10 hrs and 43 mins
155,Business Sutra,Devdutt Pattanaik,Length: 11 hrs and 26 mins
156,The 22 Immutable Laws of Marketing,Al Ries,Length: 3 hrs and 6 mins
157,Bullshit Jobs,David Graeber,Length: 12 hrs and 38 mins
158,TED Talks,Chris Anderson,Length: 7 hrs and 31 mins
159,How to Trade in Stocks,Jesse Livermore,Length: 1 hr and 43 mins
160,Smarter Faster Better,Charles Duhigg,Length: 10 hrs and 22 mins
161,Upstream,Dan Heath,Length: 7 hrs and 46 mins
162,Good to Great,Jim Collins,Length: 9 hrs and 58 mins
163,How Successful People Think,John C. Maxwell,Length: 3 hrs and 39 mins
164,All Marketers Are Liars,Seth Godin,Length: 4 hrs and 17 mins
165,Blitzscaling,Reid Hoffman,Length: 9 hrs and 3 mins
166,The Psychology of Selling,Brian Tracy,Length: 6 hrs and 18 mins
167,Bottle of Lies,Katherine Eban,Length: 14 hrs and 26 mins
168,Pre-suasion,Robert Cialdini,Length: 9 hrs and 24 mins
169,Rich Dad's Before You Quit Your Job,Robert T. Kiyosaki,Length: 7 hrs and 58 mins
170,Emotional Agility,Susan David,Length: 7 hrs and 28 mins
171,The High Performance Entrepreneur,Subroto Bagchi,Length: 6 hrs and 35 mins
172,Storytelling with Data,Cole Nussbaumer Knaflic,Length: 5 hrs and 43 mins
